"A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
44,1,5,1,0,5,6,1,2,4,1,2,2,8,3,0,9,4,5,4,4,7,6,3,3,8,7,2,11,3,10
4,44,2,5,5,2,2,3,2,1,3,2,3,3,4,6,0,7,3,2,3,5,5,5,5,3,5,3,5,3,6
1,1,44,5,3,2,4,2,1,4,3,2,3,3,0,5,8,0,6,4,6,4,4,5,7,11,10,4,2,6,0
2,4,1,44,3,0,2,3,0,3,1,2,1,2,2,2,1,2,0,7,9,2,1,2,3,6,4,5,4,6,3
3,0,3,7,44,0,1,2,5,4,4,2,4,2,4,3,2,2,7,0,20,4,2,1,3,4,6,3,4,4,2
3,4,1,2,3,44,1,2,3,4,2,4,0,2,0,3,8,2,6,11,0,4,4,2,4,6,4,0,6,6,3
1,2,2,4,2,0,44,7,2,3,3,2,1,2,0,4,2,8,5,4,7,0,6,8,2,5,3,6,6,2,6
3,4,1,3,5,1,2,44,3,1,3,4,1,2,4,8,4,3,5,6,6,4,0,13,8,7,2,8,9,3,4
2,0,1,2,2,5,1,2,44,3,5,2,5,2,4,7,4,3,1,5,3,6,10,0,6,5,5,2,3,7,4
4,5,5,7,1,3,2,2,4,44,4,5,6,3,4,8,3,10,6,5,5,6,2,3,0,13,7,4,3,5,8
3,3,4,6,4,2,4,4,3,3,44,5,4,5,2,5,8,8,4,5,7,6,10,5,15,0,9,4,2,8,5
0,4,3,2,4,1,3,2,4,6,5,44,4,2,4,4,6,10,4,2,3,6,6,4,9,24,0,1,4,5,5
2,3,2,1,0,3,2,1,5,2,2,6,44,3,2,2,5,4,6,4,5,6,0,5,2,2,4,0,3,7,2
1,3,0,2,2,0,4,4,3,2,2,5,3,44,5,9,5,10,6,9,5,8,6,7,7,4,1,5,0,7,5
2,3,1,1,6,1,1,3,3,2,2,3,1,3,44,5,3,2,6,3,4,4,3,13,6,1,3,10,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
